Categoria,Título,Ano,Tipo,Diretor(a) / Criador(a),Ator/Voz 1,Ator/Voz 2,Ator/Voz 3,Ator/Voz 4,Ator/Voz 5,Ator/Voz 6,Ator/Voz 7,Ator/Voz 8,Ator/Voz 9,Ator/Voz 10
Suspense,O Sexto Sentido,1999,Filme,M. Night Shyamalan,Bruce Willis,Haley Joel Osment,Toni Collette,Olivia Williams,Donnie Wahlberg,Glenn Fitzgerald,Trevor Morgan,Mischa Barton,KaDee Strickland,Janis Dardaris
Suspense,Um Contratempo,2016,Filme,Oriol Paulo,Mario Casas,Ana Wagener,Bárbara Lennie,José Coronado,Francesc Orella,Paco Tous,David Selvas,Iñigo Gastesi,San Yélamos,Manel Dueso
Suspense,Mindhunter,2017-2019,Série,Joe Penhall (criador); dir. principal David Fincher,Jonathan Groff,Holt McCallany,Hannah Gross,Anna Torv,Cotter Smith,Cameron Britton,Stacey Roca,Joe Tuttle,Sonny Valicenti,Happy Anderson
Suspense,La Casa de Papel,2017-2021,Série,Álex Pina (criador),Úrsula Corberó,Álvaro Morte,Itziar Ituño,Pedro Alonso,Paco Tous,Alba Flores,Miguel Herrán,Jaime Lorente,Esther Acebo,Enrique Arce
Suspense,True Detective,2014-presente,Série (antologia),Nic Pizzolatto (criador),Matthew McConaughey,Woody Harrelson,Michelle Monaghan,Colin Farrell,Rachel McAdams,Vince Vaughn,Mahershala Ali,Carmen Ejogo,Jodie Foster,Kali Reis
Suspense,Sherlock,2010-2017,Série,Steven Moffat e Mark Gatiss (criadores),Benedict Cumberbatch,Martin Freeman,Mark Gatiss,Rupert Graves,Amanda Abbington,Una Stubbs,Andrew Scott,Louise Brealey,Sian Brooke,Lars Mikkelsen
Suspense,"Bom Dia, Verônica",2020-2022,Série,Raphael Montes e Ilana Casoy (criadores); dir. geral José Henrique Fonseca,Tainá Müller,Camila Morgado,Eduardo Moscovis,Rodrigo Santoro,Maitê Proença,Reynaldo Gianecchini,Klara Castanho,Camila Márdila,César Mello,Julia Ianina
Terror,O Exorcista,1973,Filme,William Friedkin,Linda Blair,Ellen Burstyn,Max von Sydow,Jason Miller,Lee J. Cobb,Kitty Winn,Jack MacGowran,William O'Malley,Peter Masterson,Mercedes McCambridge
Terror,O Iluminado,1980,Filme,Stanley Kubrick,Jack Nicholson,Shelley Duvall,Danny Lloyd,Scatman Crothers,Barry Nelson,Philip Stone,Joe Turkel,Anne Jackson,Tony Burton,Lisa e Louise Burns
Terror,Hereditário,2018,Filme,Ari Aster,Toni Collette,Alex Wolff,Milly Shapiro,Gabriel Byrne,Ann Dowd,Mallory Bechtel,Brock McKinney,Jake Brown,Morgan Lund,Christy Summerhays
Terror,Atividade Paranormal,2007,Filme,Oren Peli,Katie Featherston,Micah Sloat,Mark Fredrichs,Amber Armstrong,Ashley Palmer,Crystal Cartwright,Spencer Marks,Randy McDowell,James Piper,(elenco reduzido - found footage)
Terror,IT A Coisa,2017,Filme,Andy Muschietti,Bill Skarsgård,Jaeden Martell,Jeremy Ray Taylor,Sophia Lillis,Finn Wolfhard,Chosen Jacobs,Jack Dylan Grazer,Wyatt Oleff,Nicholas Hamilton,Jackson Robert Scott
Terror,A Maldição da Residência Hill,2018,Série,Mike Flanagan (criador),Michiel Huisman,Carla Gugino,Henry Thomas,Elizabeth Reaser,Oliver Jackson-Cohen,Kate Siegel,Victoria Pedretti,Timothy Hutton,Lulu Wilson,Mckenna Grace
Terror,Origem (From),2022-presente,Série,John Griffin (criador; produção Irmãos Russo),Harold Perrineau,Eion Bailey,Catalina Sandino Moreno,Hannah Cheramy,Simon Webster,Elizabeth Saunders,David Alpay,Scott McCord,Ricky He,Avery Konrad
Terror,The Last of Us,2023-presente,Série,Craig Mazin e Neil Druckmann (criadores),Pedro Pascal,Bella Ramsey,Nico Parker,Gabriel Luna,Merle Dandridge,Anna Torv,Storm Reid,Jeffrey Pierce,Lamar Johnson,Ashley Johnson
Terror,American Horror Story,2011-presente,Série (antologia),Ryan Murphy e Brad Falchuk (criadores),Sarah Paulson,Evan Peters,Lily Rabe,Frances Conroy,Denis O'Hare,Jessica Lange,Kathy Bates,Angela Bassett,Emma Roberts,Finn Wittrock
Terror,Missa da Meia-Noite,2021,Minissérie,Mike Flanagan (criador),Zach Gilford,Kate Siegel,Hamish Linklater,Samantha Sloyan,Rahul Kohli,Annabeth Gish,Kristin Lehman,Henry Thomas,Robert Longstreet,Annarah Cymone
Ação,Mad Max: Estrada da Fúria,2015,Filme,George Miller,Tom Hardy,Charlize Theron,Nicholas Hoult,Hugh Keays-Byrne,Rosie Huntington-Whiteley,Riley Keough,Zoë Kravitz,Abbey Lee,Courtney Eaton,Josh Helman
Ação,Duro de Matar,1988,Filme,John McTiernan,Bruce Willis,Alan Rickman,Bonnie Bedelia,Reginald VelJohnson,Alexander Godunov,Paul Gleason,De'voreaux White,William Atherton,Hart Bochner,James Shigeta
Ação,007 - Operação Skyfall,2012,Filme,Sam Mendes,Daniel Craig,Judi Dench,Javier Bardem,Ralph Fiennes,Naomie Harris,Bérénice Marlohe,Ben Whishaw,Albert Finney,Rory Kinnear,Helen McCrory
Ação,Tropa de Elite,2007,Filme,José Padilha,Wagner Moura,André Ramiro,Caio Junqueira,Milhem Cortaz,Fernanda Machado,André Di Mauro,Paulo Vilela,Fernanda de Freitas,Maria Ribeiro,Fábio Lago
Ação,Kill Bill: Volume 1,2003,Filme,Quentin Tarantino,Uma Thurman,Lucy Liu,Vivica A. Fox,Daryl Hannah,David Carradine,Michael Madsen,Julie Dreyfus,Chiaki Kuriyama,Sonny Chiba,Michael Parks
Ação,The Boys,2019-presente,Série,Eric Kripke (criador),Karl Urban,Jack Quaid,Antony Starr,Erin Moriarty,Jessie T. Usher,Laz Alonso,Chace Crawford,Tomer Capone,Karen Fukuhara,Nathan Mitchell
Ação,Band of Brothers,2001,Minissérie,Tom Hanks e Steven Spielberg (criadores),Damian Lewis,Ron Livingston,David Schwimmer,Donnie Wahlberg,Michael Fassbender,Michael Cudlitz,Scott Grimes,Neal McDonough,Kirk Acevedo,Colin Hanks
Ação,Demolidor,2015-2018,Série,Drew Goddard (criador),Charlie Cox,Deborah Ann Woll,Elden Henson,Vincent D'Onofrio,Rosario Dawson,Toby Leonard Moore,Vondie Curtis-Hall,Bob Gunton,Ayelet Zurer,Jon Bernthal
Ação,Vikings,2013-2020,Série,Michael Hirst (criador),Travis Fimmel,Katheryn Winnick,Clive Standen,Gustaf Skarsgård,Alexander Ludwig,George Blagden,Alyssa Sutherland,Linus Roache,Jonathan Rhys Meyers,Gabriel Byrne
Ação,Reacher,2022-presente,Série,Nick Santora (criador),Alan Ritchson,Malcolm Goodwin,Willa Fitzgerald,Maria Sten,Chris Webster,Bruce McGill,Kristin Kreuk,Serinda Swan,Sonya Cassidy,Johnny Berchtold
Romance,Titanic,1997,Filme,James Cameron,Leonardo DiCaprio,Kate Winslet,Billy Zane,Kathy Bates,Frances Fisher,Bernard Hill,Jonathan Hyde,Danny Nucci,David Warner,Bill Paxton
Romance,Antes do Amanhecer,1995,Filme,Richard Linklater,Ethan Hawke,Julie Delpy,Andrea Eckert,Hanno Pöschl,Karl Bruckschwaiger,Tex Rubinowitz,Erni Mangold,Dominik Castell,Haymon Maria Buttinger,Adam Goldberg
Romance,Orgulho e Preconceito,2005,Filme,Joe Wright,Keira Knightley,Matthew Macfadyen,Donald Sutherland,Brenda Blethyn,Rosamund Pike,Jena Malone,Judi Dench,Rupert Friend,Carey Mulligan,Tom Hollander
Romance,Como se Fosse a Primeira Vez,2004,Filme,Peter Segal,Adam Sandler,Drew Barrymore,Rob Schneider,Sean Astin,Lusia Strus,Dan Aykroyd,Amy Hill,Blake Clark,Maya Rudolph,Kevin James
Romance,Diário de uma Paixão,2004,Filme,Nick Cassavetes,Ryan Gosling,Rachel McAdams,Gena Rowlands,James Garner,Joan Allen,David Thornton,James Marsden,Kevin Connolly,Sam Shepard,Starletta DuPois
Romance,Normal People,2020,Série,"Sally Rooney, Alice Birch e Mark O'Rowe (roteiro); dir. Lenny Abrahamson e Hettie Macdonald",Daisy Edgar-Jones,Paul Mescal,Sarah Greene,Aislín McGuckin,Desmond Eastwood,Frank Blake,India Mullen,Eliot Salt,Éanna Hardwicke,Fionn O'Shea
Romance,Bridgerton,2020-presente,Série,Chris Van Dusen (criador; produção Shonda Rhimes),Phoebe Dynevor,Regé-Jean Page,Jonathan Bailey,Nicola Coughlan,Luke Newton,Claudia Jessie,Golda Rosheuvel,Adjoa Andoh,Ruth Gemmell,Polly Walker
Romance,Outlander,2014-presente,Série,Ronald D. Moore (criador),Caitriona Balfe,Sam Heughan,Tobias Menzies,Sophie Skelton,Richard Rankin,Graham McTavish,Duncan Lacroix,Lauren Lyle,César Domboy,Maria Doyle Kennedy
Romance,Modern Love,2019-presente,Série (antologia),John Carney (criador),Anne Hathaway,Tina Fey,John Slattery,Catherine Keener,Dev Patel,Julia Garner,Andy Garcia,Cristin Milioti,Sofia Boutella,Andrew Scott
Romance,Heartstopper,2022-presente,Série,Alice Oseman (criadora),Kit Connor,Joe Locke,William Gao,Yasmin Finney,Corinna Brown,Kizzy Edgell,Tobie Donovan,Rhea Norwood,Sebastian Croft,Olivia Colman
Documentário,Senna,2010,Documentário,Asif Kapadia,Ayrton Senna,Alain Prost,Nigel Mansell,Ron Dennis,Jean-Marie Balestre,Sid Watkins,Frank Williams,Viviane Senna,Xuxa,Nelson Piquet
Documentário,A Linha Tênue,1988,Documentário,Errol Morris,Randall Adams,David Harris,Gus Rose,Jackie Johnson,Marshall Touchton,Dale Holt,Sam Kittrell,Edith James,Dennis White,Emily Miller
Documentário,Democracia em Vertigem,2019,Documentário,Petra Costa,Petra Costa,Dilma Rousseff,Luiz Inácio Lula da Silva,Michel Temer,Jair Bolsonaro,Gilberto Carvalho,Eduardo Cunha,Sergio Moro,Fernando Henrique Cardoso,Aécio Neves
Documentário,Ilha das Flores,1989,Curta-documentário,Jorge Furtado,Paulo José (narrador),Ciça Reckziegel,Douglas Trainini,Júlia Barth,Igor Costa,Irene Schmidt,Luciane Azevedo,Ana Luiza Nunes,Antônio da Silva,(elenco reduzido - curta de 13 min)
Documentário,Free Solo,2018,Documentário,Elizabeth Chai Vasarhelyi e Jimmy Chin,Alex Honnold,Tommy Caldwell,Jimmy Chin,Cheyne Lempe,Dierdre Wolownick,Sanni McCandless,Mikey Schaefer,(elenco reduzido),(elenco reduzido),(elenco reduzido)
Documentário,The Last Dance,2020,Documentário,Jason Hehir,Michael Jordan,Scottie Pippen,Dennis Rodman,Phil Jackson,Jerry Reinsdorf,Jerry Krause,Bill Clinton,Barack Obama,Steve Kerr,Toni Kukoč
Documentário,A Máfia dos Tigres (Tiger King),2020,Documentário,Eric Goode e Rebecca Chaiklin,Joe Exotic,Carole Baskin,Doc Antle,Jeff Lowe,John Finlay,Joshua Dial,Erik Cowie,Rick Kirkham,Howard Baskin,Saff
Documentário,Wild Wild Country,2018,Documentário,Chapman Way e Maclain Way,Bhagwan Shree Rajneesh (Osho),Ma Anand Sheela,Jane Stork,Philip Toelkes,Charles Turner,David Frohnmayer,John Silvertooth,Ma Prem Isabel,Bob Harvey,Sally McGreal
Documentário,O Mistério de Jinx,2015,Documentário,Andrew Jarecki,Robert Durst,Dick DeGuerin,Jeanine Pirro,Susan Berman,Kathie Durst,Nick Chavez,Susan Giordano,Chris Lovell,Marc Smerling,Andrew Jarecki
Documentário,Nosso Planeta,2019,Documentário (natureza),Alastair Fothergill e Keith Scholey,(SEM elenco humano),Narração: David Attenborough,(versão ES: Salma Hayek),(versão ES: Penélope Cruz),-,-,-,-,-,-
Fantasia,Harry Potter e o Prisioneiro de Azkaban,2004,Filme,Alfonso Cuarón,Daniel Radcliffe,Emma Watson,Rupert Grint,Gary Oldman,Alan Rickman,Timothy Spall,Tom Felton,Richard Griffiths,Michael Gambon,Robbie Coltrane
Fantasia,A Viagem de Chihiro,2001,Filme (animação),Hayao Miyazaki,Rumi Hiiragi,Miyu Irino,Mari Natsuki,Takeshi Naito,Yasuko Sawaguchi,Tsunehiko Kamijō,Takehiko Ono,Bunta Sugawara,Daveigh Chase (dub. EN),Jason Marsden (dub. EN)
Fantasia,O Labirinto do Fauno,2006,Filme,Guillermo del Toro,Ivana Baquero,Sergi López,Doug Jones,Ariadna Gil,Maribel Verdú,Álex Angulo,Roger Casamajor,Federico Luppi,Manolo Solo,Ivan Massagué
Fantasia,"As Crônicas de Nárnia: O Leão, a Feiticeira e o Guarda-Roupa",2005,Filme,Andrew Adamson,Georgie Henley,Skandar Keynes,William Moseley,Anna Popplewell,Tilda Swinton,James McAvoy,Jim Broadbent,Liam Neeson (voz),Ray Winstone (voz),James Cosmo
Fantasia,Piratas do Caribe: A Maldição do Pérola Negra,2003,Filme,Gore Verbinski,Johnny Depp,Geoffrey Rush,Orlando Bloom,Keira Knightley,Jack Davenport,Jonathan Pryce,Lee Arenberg,Mackenzie Crook,Kevin R. McNally,Zoe Saldana
Fantasia,Game of Thrones,2011-2019,Série,David Benioff e D.B. Weiss (criadores),Peter Dinklage,Emilia Clarke,Kit Harington,Lena Headey,Sophie Turner,Maisie Williams,Nikolaj Coster-Waldau,Sean Bean,Jason Momoa,Iain Glen
Fantasia,Sandman,2022-presente,Série,Allan Heinberg (showrunner; obra de Neil Gaiman),Tom Sturridge,Gwendoline Christie,Vivienne Acheampong,Charles Dance,Boyd Holbrook,Kirby Howell-Baptiste,Patton Oswalt,Jenna Coleman,David Thewlis,Joely Richardson
Fantasia,Supernatural,2005-2020,Série,Eric Kripke (criador),Jared Padalecki,Jensen Ackles,Misha Collins,Mark Sheppard,Jim Beaver,Mark Pellegrino,Samantha Smith,Alexander Calvert,Osric Chau,Kim Rhodes
Fantasia,Avatar: O Último Mestre do Ar (live-action),2024-presente,Série,Albert Kim (showrunner),Gordon Cormier,Kiawentiio,Ian Ousley,Dallas Liu,Paul Sun-Hyung Lee,Daniel Dae Kim,Ken Leung,Elizabeth Yu,Maria Zhang,Amber Midthunder
Fantasia,The Witcher,2019-presente,Série,Lauren Schmidt Hissrich (criadora),Henry Cavill,Liam Hemsworth,Freya Allan,Anya Chalotra,Eamon Farren,Joey Batey,MyAnna Buring,Mimî M Khayisa,Anna Shaffer,Jodhi May
Comédia,"Se Beber, Não Case!",2009,Filme,Todd Phillips,Bradley Cooper,Ed Helms,Zach Galifianakis,Justin Bartha,Heather Graham,Sasha Barrese,Jeffrey Tambor,Ken Jeong,Rachael Harris,Mike Tyson
Comédia,As Branquelas,2004,Filme,Keenen Ivory Wayans,Shawn Wayans,Marlon Wayans,Jaime King,Frankie Faison,Lochlyn Munro,John Heard,Busy Philipps,Terry Crews,Rochelle Aytes,Faune Chambers Watkins
Comédia,O Auto da Compadecida,2000,Filme,Guel Arraes,Matheus Nachtergaele,Selton Mello,Marco Nanini,Denise Fraga,Fernanda Montenegro,Lima Duarte,Rogério Cardoso,Paulo Goulart,Diogo Vilela,Virginia Cavendish
Comédia,Todo Mundo em Pânico,2000,Filme,Keenen Ivory Wayans,Anna Faris,Jon Abrahams,Marlon Wayans,Carmen Electra,Regina Hall,Shannon Elizabeth,Lochlyn Munro,Dave Sheridan,Cheri Oteri,Shawn Wayans
Comédia,Curtindo a Vida Adoidado,1986,Filme,John Hughes,Matthew Broderick,Alan Ruck,Mia Sara,Jeffrey Jones,Jennifer Grey,Cindy Pickett,Lyman Ward,Edie McClurg,Charlie Sheen,Kristy Swanson
Comédia,The Office (US),2005-2013,Série,Greg Daniels (criador),Steve Carell,Rainn Wilson,John Krasinski,Jenna Fischer,B.J. Novak,Mindy Kaling,Ed Helms,Angela Kinsey,Oscar Nunez,Craig Robinson
Comédia,Modern Family,2009-2020,Série,Steven Levitan e Christopher Lloyd (criadores),Ed O'Neill,Sofía Vergara,Julie Bowen,Ty Burrell,Jesse Tyler Ferguson,Eric Stonestreet,Sarah Hyland,Ariel Winter,Nolan Gould,Rico Rodriguez
Comédia,Ted Lasso,2020-presente,Série,"Jason Sudeikis, Bill Lawrence, Brendan Hunt e Joe Kelly (criadores)",Jason Sudeikis,Hannah Waddingham,Jeremy Swift,Phil Dunster,Brett Goldstein,Brendan Hunt,Nick Mohammed,Juno Temple,Toheeb Jimoh,Cristo Fernández
Comédia,Brooklyn Nine-Nine,2013-2021,Série,Dan Goor e Michael Schur (criadores),Andy Samberg,Stephanie Beatriz,Terry Crews,Melissa Fumero,Joe Lo Truglio,Chelsea Peretti,Andre Braugher,Dirk Blocker,Joel McKinnon Miller,Fred Armisen
Comédia,Fleabag,2016-2019,Série,Phoebe Waller-Bridge (criadora),Phoebe Waller-Bridge,Sian Clifford,Olivia Colman,Jenny Rainsford,Bill Paterson,Brett Gelman,Andrew Scott,Hugh Skinner,Ben Aldridge,Hugh Dennis
Animação,Homem-Aranha: No Aranhaverso,2018,Filme (animação),"Bob Persichetti, Peter Ramsey e Rodney Rothman",Shameik Moore,Jake Johnson,Hailee Steinfeld,Mahershala Ali,Zoë Kravitz,Brian Tyree Henry,Lily Tomlin,Luna Lauren Velez,Nicolas Cage,Liev Schreiber
Animação,Toy Story 3,2010,Filme (animação),Lee Unkrich,Tom Hanks,Tim Allen,Joan Cusack,Don Rickles,Wallace Shawn,John Ratzenberger,Estelle Harris,Ned Beatty,Michael Keaton,Jodi Benson
Animação,O Rei Leão,1994,Filme (animação),Roger Allers e Rob Minkoff,Matthew Broderick,James Earl Jones,Jeremy Irons,Jonathan Taylor Thomas,Moira Kelly,Nathan Lane,Ernie Sabella,Rowan Atkinson,Robert Guillaume,Whoopi Goldberg
Animação,Shrek 2,2004,Filme (animação),"Andrew Adamson, Kelly Asbury e Conrad Vernon",Mike Myers,Eddie Murphy,Cameron Diaz,Antonio Banderas,Julie Andrews,John Cleese,Rupert Everett,Jennifer Saunders,Larry King,Cody Cameron
Animação,Akira,1988,Filme (animação),Katsuhiro Otomo,Mitsuo Iwata,Nozomu Sasaki,Mami Koyama,Tesshô Genda,Taro Ishida,Kôichi Kitamura,Mizuho Suzuki,Yuriko Fuchizaki,Masaaki Ôkura,Tarô Arakawa
Animação,Arcane,2021-2024,Série (animação),Christian Linke e Alex Yee (criadores),Hailee Steinfeld,Ella Purnell,Kevin Alejandro,Katie Leung,Jason Spisak,Toks Olagundoye,Harry Lloyd,JB Blanc,Reed Shannon,Mick Wingert
Animação,Rick and Morty,2013-presente,Série (animação),Justin Roiland e Dan Harmon (criadores),Justin Roiland (temp. 1-6),Ian Cardoni (temp. 7+),Harry Belden (temp. 7+),Chris Parnell,Spencer Grammer,Sarah Chalke,Kari Wahlgren,Tom Kenny,Phil Hendrie,Dan Harmon
Animação,BoJack Horseman,2014-2020,Série (animação),Raphael Bob-Waksberg (criador),Will Arnett,Amy Sedaris,Alison Brie,Paul F. Tompkins,Aaron Paul,Kristen Schaal,Patton Oswalt,Alan Tudyk,Wendie Malick,Adam Conover
Animação,Invencível,2021-presente,Série (animação),Robert Kirkman (criador da HQ; showrunner Simon Racioppa),Steven Yeun,J.K. Simmons,Sandra Oh,Seth Rogen,Gillian Jacobs,Andrew Rannells,Zazie Beetz,Mark Hamill,Walton Goggins,Jason Mantzoukas
Animação,X-Men: A Série Animada,1992-1997,Série (animação),Eric Lewald e Julia Lewald (produtores); dir. supervisor Larry Houston,Cal Dodd,Lenore Zann,George Buza,Chris Potter,Alyson Court,Catherine Disher,Cedric Smith,Norm Spencer,Iona Morris,Christopher Britton
